"Turbine_ID","X.coordinate","Y.coordinate","Site.Name","No..of.Turbines","Turbine.Capacity..MW.","Capacity","Status.Summary","Ref_ID","Record.Last.Updated..dd.mm.yyyy.","County","Region","Country","Planning.Application.Submitted","Under.Construction","Operational","Size","year","yearCategory","Planning_Status_Summary","NearestTurbineBuilt","NearestTurbinePlanned","NearestTurbineRejected","lon","lat","Airports","AONB","ARoads","BRoads","HCoast","HVpowerline","MilitarySites","MinRoads","Motorways","NationalParks","NNR","Powerlines","PrimaryRoads","Railway","RAMSAR","SACS","SPA","SSSI","UrbanLarge","UrbanRegions","UrbanSmall","Slope","UKElevation","WindSpeed45","CensusMerged","AgeTotal","AgeMean","AgeMedian","QualTotal","QualLevel4","QualPercL4","SocGrdTot","SocGrdAB","TenureTotal","TenureOwned","PercOwn","Year","Authority","Code","Type","Council_si","Con","Lab","LD","Other","SNP_PC","Control","Majority","Con_share","Lab_share","LD_share","Oth_share","SNP_PC_sha"
"S_1425",361095,642215,"Morriston Farm Wind Turbine",1,0.05,0.05,"Submitted","C1081","04/09/2013","Borders","Scotland","Scotland","25/03/2013","","","Small",2013,"2010 Onwards",NA,2.3,2.3,6.4,-2.62011817224866,55.6718663021266,0.74,4.785,0.031,2.565,39.736,0.664,14.133,1.306,51.628,25.708,15.833,0.674,4.576,13.385,11.404,3.994,11.423,1.913,10.074,0.609,0.609,3.53704500198364,146,7,"S01005460",868,41.5,45,691,194,28,536,20.1,367,229,62,2013,"Scottish Borders",8005,12,34,10,0,6,9,9,"NOC",18,29.4117647058824,0,17.6470588235294,26.4705882352941,26.4705882352941
"S_1426",309445,536273,"New Grange Wind Turbine",1,0.225,0.22,"Submitted","B1384","05/11/2014","Cumbria","North West","England","18/06/2014","","","Small",2014,"2010 Onwards",NA,2.2,2.2,5,-3.40713806172432,54.7132842011278,22.038,3.222,2.03,4.421,25.047,0.817,12.802,0.413,35.441,4.377,10.256,0.82,2.752,2.032,9.455,4.799,9.377,4.798,4.448,1.459,1.459,1.19678127765656,78,7,"E01019086",1120,45.6,47,942,427,45,285,47,460,375,82,2014,"Allerdale",901,1,56,12,27,0,17,NA,"NOC",29,21.4285714285714,48.2142857142857,0,30.3571428571429,NA
"S_1427",299030,522747,"Lowca Top Road Wind Turbine",1,0.25,0.25,"Submitted","B0614","04/09/2013","Cumbria","North West","England","06/12/2012","","","Small",2012,"2010 Onwards",NA,15.3,0.1,0.1,-3.56406394033156,54.5897917654734,39.1,15.159,2.674,1.155,8.093,0.205,5.171,0.041,50.412,8.994,8.366,0.217,0.83,0.93,24.348,6.538,24.291,6.034,1.947,0.632,0.632,1.56332588195801,95,7,"E01019269",1566,39.9,40,1266,125,10,501,8.8,680,321,47,2012,"Copeland",904,1,51,15,34,0,2,NA,"Lab",26,29.4117647058824,66.6666666666667,0,3.92156862745098,NA
"S_1428",277794,645429,"Whitehill Farm",1,0.5,0.5,"Submitted","C3198","31/07/2014","Strathclyde","Scotland","Scotland","24/06/2014","","","Small",2014,"2010 Onwards",NA,2.4,2.4,5,-3.94539745957668,55.6868960781534,31.884,33.643,4.738,0.203,120.634,2.099,17.821,0.896,0.501,49.608,3.871,2.099,2.254,5.331,34.161,2.109,9.535,0.358,1.443,1.443,1.51,3.24954652786255,181,7,"S01005738",885,36.4,38,704,103,15,619,11.3,363,201,55,2014,"South Lanarkshire",8027,12,67,3,35,1,2,26,"Lab",34,4.47761194029851,52.2388059701493,1.49253731343284,2.98507462686567,38.8059701492537
"S_1429",325452,355797,"NANT Y FFRITH WIND TURBINE",1,0.5,0.5,"Submitted","C1801","25/02/2014","Clwyd","Wales","Wales","19/08/2013","","","Small",2013,"2010 Onwards",NA,1.1,1,1,-3.11468932217697,53.0941518338003,8.695,2.192,1.801,1.872,158.751,0.285,12.324,0.372,20.257,33.431,26.274,0.3,6.852,5.643,10.339,2.198,14.466,2.198,3.708,1.676,1.676,4.05673789978027,293,7,"W01000310",1850,43.7,46,1554,481,31,534,28.8,767,639,83,2013,"Flintshire",7011,13,70,8,30,7,24,1,"NOC",36,11.4285714285714,42.8571428571429,10,34.2857142857143,1.42857142857143
"S_1430",356985,709855,"Carhurly Farm",1,0.5,0.5,"Submitted","C3261","04/09/2014","Fife","Scotland","Scotland","17/07/2014","","","Small",2014,"2010 Onwards",NA,1.9,1.1,1.1,-2.69629368513437,56.2792005087342,13.658,58.716,2.951,0.576,66.438,20.451,13.658,0.737,41.941,63.577,12.73,20.451,8.292,16.061,4.903,9.781,4.918,0.752,5.635,2.658,2.658,0.870689511299133,76,9,"S01002964",638,47.8,51,564,265,47,413,32.2,334,189,57,2014,"Fife",8016,12,78,3,35,10,4,26,"NOC",40,3.84615384615385,44.8717948717949,12.8205128205128,5.12820512820513,33.3333333333333
"S_1431",309335,189825,"BRYN TAIL FARM",2,0.25,0.5,"Submitted","C2441","24/01/2014","Mid Glamorgan","Wales","Wales","18/10/2013","","","Small",2013,"2010 Onwards",NA,0.3,0.1,0.1,-3.3104207309419,51.5999430118322,21.753,38.635,0.685,0.839,43.739,0.612,9.016,0.563,8.978,18.86,23.302,0.612,0.839,1.465,17.721,7.327,17.721,3.399,0.418,0.418,2.138,8.77134609222412,259,6,"W01001262",1356,33.1,27,1173,317,27,455,11.9,546,271,50,2013,"Rhondda Cynon Taff",7018,13,75,1,60,1,4,9,"Lab",38,1.33333333333333,80,1.33333333333333,5.33333333333333,12
"S_1432",302501,690188,"Muirside of Kinneddar",1,0.225,0.22,"Submitted","C2435","16/01/2014","Fife","Scotland","Scotland","20/11/2013","","","Small",2013,"2010 Onwards",NA,0.8,0.8,4.6,-3.56872706367105,56.0944963378094,19.898,39.929,0.882,1.221,100.796,1.885,5.557,0.378,10.23,40.225,14.494,0.138,3.454,3.923,3.988,23.135,3.989,2.729,3.707,0.882,0.882,1.29861724376678,102,7,"S01002772",989,43.9,46,837,248,30,607,22.9,377,310,82,2013,"Fife",8016,12,78,3,35,10,4,26,"NOC",40,3.84615384615385,44.8717948717949,12.8205128205128,5.12820512820513,33.3333333333333
"S_1433",352571,438977,"Jack Nook Farm",1,0.05,0.05,"Submitted","C1703","19/08/2013","Lancashire","North West","England","30/07/2013","","","Small",2013,"2010 Onwards",NA,3,2.3,2.3,-2.72234943532752,53.8448569216995,4.538,3.525,1.245,3.257,92.29,0.059,2.761,0.782,0.14,35.642,12.632,0.149,4.965,1.071,12.503,14.265,7.909,3.727,1.187,0.717,0.717,1.04861187934875,38,7,"E01025281",1500,43.8,47,1224,508,42,384,42.2,583,535,92,2013,"Preston",2309,1,57,19,31,5,2,NA,"Lab",29,33.3333333333333,54.3859649122807,8.7719298245614,3.50877192982456,NA
"S_1434",325091,185209,"Clearwell Farm - wind",1,0.5,0.5,"Submitted","C3098","27/06/2014","Gwent","Wales","Wales","03/06/2014","","","Small",2014,"2010 Onwards",NA,6.5,1.4,1.4,-3.08199704055234,51.5607656614479,21.788,24.351,1.439,3.157,47.097,0.117,9.896,0.521,0.989,16.327,7.473,0.122,3.564,2.286,5.244,5.244,5.244,2.008,2.861,0.892,0.892,3.71872496604919,93,7,"W01001657",1465,38,41,1153,471,41,444,42.1,547,489,89,2014,"Newport",7015,13,50,10,37,1,2,0,"Lab",26,20,74,2,4,0
